Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
4805774.527,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805807.886,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805841.64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805875.967999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805908.617,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805943.203999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805976.329999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806009.442,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806043.935,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806076.651,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806110.262999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806144.8270000005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806177.481,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806211.089,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806245.279999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806278.289,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806311.898999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806345.511,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806380.186,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806412.722,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806446.330999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806481.0139999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806513.744999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806547.157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806581.841999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806614.368,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806647.972999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806682.261999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806715.182999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806748.795,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806782.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806816.014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806849.6219999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806883.219,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806917.21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4806950.628,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
